time_h,T_air_C,T_out_C
1,5.8861,1.3000
2,5.8592,1.2000
3,5.6698,1.1000
4,5.3635,0.9000
5,5.2311,0.9000
6,5.0582,1.0000
7,5.0291,0.5000
8,5.6753,0.8000
9,6.9581,1.0000
10,8.6440,1.9000
11,9.6936,2.4000
12,10.1662,2.5000
13,9.9099,2.7000
14,9.1663,2.7000
15,8.1955,2.7000
16,6.9918,2.1000
17,5.9321,2.1000
18,5.5156,2.1000
19,5.1001,2.1000
20,4.2099,1.0000
21,3.4085,0.5000
22,4.0979,4.2000
23,4.0769,3.5000
24,3.1553,1.8000
25,2.4812,1.0000
26,2.7890,1.7000
27,3.2870,2.8000
28,3.5927,2.8000
29,3.7605,2.9000
30,3.9461,2.7000
31,3.9788,1.9000
32,4.5536,1.8000
33,5.7071,0.7000
34,8.0532,3.1000
35,10.6850,5.4000
36,12.4351,6.9000
37,13.2549,7.7000
38,12.3410,7.9000
39,9.5527,7.0000
40,7.4666,7.4000
41,5.7892,5.9000
42,4.5687,4.3000
43,3.7401,2.4000
44,2.9362,0.8000
45,2.3794,0.1000
46,2.0379,0.2000
47,1.9880,-0.5000
48,2.0680,0.3000
49,2.6692,1.3000
50,4.0990,2.6000
51,4.9875,3.2000
52,4.7972,2.7000
53,4.3552,1.9000
54,4.0558,2.1000
55,4.1338,2.5000
56,4.4395,3.0000
57,6.9591,4.7000
58,9.9573,5.4000
59,12.4543,6.4000
60,14.6987,8.1000
61,15.4693,10.0000
62,13.9971,9.0000
63,11.3158,8.3000
64,9.4581,10.0000
65,8.3749,8.9000
66,7.8429,8.0000
67,7.3701,7.0000
68,6.7441,4.6000
69,6.1897,3.7000
70,6.1769,4.5000
71,5.7929,4.1000
72,5.3053,3.1000
73,4.9406,3.0000
74,4.7888,2.8000
75,4.8979,3.1000
76,4.7036,3.1000
77,4.4875,3.0000
78,4.2190,2.0000
79,4.5422,1.9000
80,5.4257,2.7000
81,6.9403,4.2000
82,8.5010,6.1000
83,9.5315,6.3000
84,10.8391,7.2000
85,12.3056,9.9000
86,11.9861,9.3000
87,10.0399,8.3000
88,8.2932,7.0000
89,6.6231,6.9000
90,5.8333,6.3000
91,6.2447,4.3000
92,6.4062,4.6000
93,6.0816,3.2000
94,5.6877,4.1000
95,5.1390,3.9000
96,4.5194,4.1000
97,3.9933,4.0000
98,3.4517,3.1000
99,3.1160,2.4000
100,2.6943,2.0000
101,2.1862,1.6000
102,2.0892,1.7000
103,2.0961,3.0000
104,2.6202,1.8000
105,4.8333,3.1000
106,8.3972,4.4000
107,12.0757,6.4000
108,14.4890,7.3000
109,14.9308,8.0000
110,13.4597,8.2000
111,11.4540,8.2000
112,9.1121,5.6000
113,7.6776,6.0000
114,6.9383,5.7000
115,6.3417,5.4000
116,6.1883,4.9000
117,5.7239,4.0000
118,5.4932,4.2000
119,5.2102,3.6000
120,4.9824,2.8000
121,4.9230,1.8000
122,4.8556,1.9000
123,4.7869,1.8000
124,4.6686,1.9000
125,4.5625,1.9000
126,4.5322,1.7000
127,4.4241,1.6000
128,5.0907,2.1000
129,6.6874,2.5000
130,9.1221,3.1000
131,11.5571,3.6000
132,12.9324,4.1000
133,12.8810,4.3000
134,11.5335,4.3000
135,9.9228,4.5000
136,8.2416,3.7000
137,6.9115,3.3000
138,5.9909,2.9000
139,5.4634,3.1000
140,5.1556,3.1000
141,5.0143,3.5000
142,4.6348,2.5000
143,4.3612,2.3000
144,4.2118,2.6000
145,4.0166,2.4000
146,4.1000,2.6000
147,4.3135,2.3000
148,4.4072,2.2000
149,4.2637,1.9000
150,4.2831,2.0000
151,4.2999,1.8000
152,5.2548,1.7000
153,6.8759,1.7000
154,8.9897,2.1000
155,11.1611,3.1000
156,12.4479,3.6000
157,12.5563,3.9000
158,11.5760,4.1000
159,9.7206,4.1000
160,7.7259,3.2000
161,6.2988,2.8000
162,5.8232,3.4000
163,5.2294,3.5000
164,4.9546,3.4000
165,4.6028,3.3000
166,4.2121,3.0000
167,3.8990,3.0000
168,3.6998,3.0000
